team_full_name,offensive,defensive,league,country
Kaiserslautern,50.1,43.1,2. Bundesliga,Germany
Luzern,54.9,37.5,Swiss Super League,Switzerland
Atromitos,37.2,54.5,Greek Super League,Greece
Holstein Kiel,48.5,44.3,2. Bundesliga,Germany
Dender,45.3,47.3,Pro League,Belgium
Lugano,44.8,47.3,Swiss Super League,Switzerland
Vejle BK,47.6,44.4,Danish Superliga,Denmark
Basel,50.5,40.9,Swiss Super League,Switzerland
Rio Ave,40.1,51.3,Liga Portugal,Portugal
GAIS,46.0,45.7,Sweden Allsvenskan,Sweden
IK Sirius,51.0,40.2,Sweden Allsvenskan,Sweden
Hibernian,43.3,47.8,Scottish Premiership,Scotland
Korona Kielce,44.7,46.4,Ekstraklasa,Poland
Tondela,38.1,52.3,Liga Portugal,Portugal
Gazisehir Gaziantep,45.9,44.7,Süper Lig,Türkiye
Jablonec,42.2,48.2,Czech First League,Czech Republic
Kocaelispor,31.6,56.8,Süper Lig,Türkiye
Ordabasy,45.1,45.5,Kazakhstan Premier League,Kazakhstan
Fredrikstad,43.4,47.0,Norway Eliteserien,Norway
Lillestrom,47.6,42.7,Norway Eliteserien,Norway
Zaglebie Lubin,44.9,45.4,Ekstraklasa,Poland
Bohemians 1905,40.7,49.3,Czech First League,Czech Republic
Rapid Wien,38.5,51.2,Austrian Bundesliga,Austria
Excelsior,44.8,45.3,Eredivisie,Netherlands
KFUM,41.7,48.2,Norway Eliteserien,Norway
Silkeborg,46.1,43.9,Danish Superliga,Denmark
Kasimpasa,34.6,53.9,Süper Lig,Türkiye
Servette FC,46.9,42.9,Swiss Super League,Switzerland
Neftci,45.4,44.0,Azerbaijan Premier League,Azerbaijan
Hradec Kralove,39.6,49.3,Czech First League,Czech Republic
NAC Breda,45.9,43.4,Eredivisie,Netherlands
Fortuna Sittard,50.0,38.2,Eredivisie,Netherlands
Karlsruher SC,49.0,38.8,2. Bundesliga,Germany
Karvina,49.7,38.1,Czech First League,Czech Republic
IF Elfsborg,45.9,41.6,Sweden Allsvenskan,Sweden
Zwolle,45.5,42.0,Eredivisie,Netherlands
Yelimay,48.2,38.4,Kazakhstan Premier League,Kazakhstan
Levadiakos,42.0,44.6,Greek Super League,Greece
HamKam,45.8,40.6,Norway Eliteserien,Norway
Motor Lublin,42.8,43.3,Ekstraklasa,Poland
Greuther Furth,44.0,42.1,2. Bundesliga,Germany
Kifisia,43.1,42.9,Greek Super League,Greece
Preuen Munster,42.2,43.5,2. Bundesliga,Germany
Fatih Karagumruk,40.1,45.2,Süper Lig,Türkiye
Anorthosis,35.5,48.8,Cyprus First Division,Cyprus
Nieciecza,47.7,37.0,Ekstraklasa,Poland
Eyupspor,32.1,51.5,Süper Lig,Türkiye
Slaven,41.1,43.7,Croatian HNL,Croatia
Teplice,35.7,48.4,Czech First League,Czech Republic
Mlada Boleslav,43.0,41.2,Czech First League,Czech Republic
WSG Tirol,38.2,45.2,Austrian Bundesliga,Austria
Kayserispor,38.1,44.9,Süper Lig,Türkiye
Ried,38.3,44.8,Austrian Bundesliga,Austria
Zira,29.4,51.7,Azerbaijan Premier League,Azerbaijan
FC Fredericia,49.6,31.8,Danish Superliga,Denmark
Genclerbirligi,35.8,46.2,Süper Lig,Türkiye
Grasshopper,43.1,39.2,Swiss Super League,Switzerland
Arka Gdynia,40.0,42.2,Ekstraklasa,Poland
Kristiansund,43.9,37.6,Norway Eliteserien,Norway
